Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest
Helosciadium inundatum (L.) W. D. J. Koch,Apiaceae,krypfloka,79.0,Resident,VU,0.0,0,1.0,4.0,11.0,2.0,4.0,3.0,6.0,10.0,4.0,5.0,4.0,1.0,7.0,,4.0,0c,11.0,4.0,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemerocallis fulva (L.) L.,Xanthorrhoeaceae,brunröd daglilja,219817.0,Non-resident,Not Red-listed,,,1.0,2.0,10.0,2.0,4.0,7.0,6.0,4.0,5.0,6.0,3.0,1.0,2.0,,4.0,0a,10.0,3.0,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemerocallis lilioasphodelus L.,Xanthorrhoeaceae,gul daglilja,219818.0,Non-resident,Not Red-listed,,,1.0,4.0,9.0,2.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,1.0,2.0,,4.0,0a,8.0,1.0,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,3,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatica nobilis Schreb.,Ranunculaceae,blåsippa,222498.0,Resident,Not Red-listed,0.0,0,2.0,2.0,8.0,4.0,7.0,7.0,3.0,3.0,6.0,5.0,4.0,1.0,3.0,1.0,4.0,1,2.0,7.0,4,1.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,3,0
Heracleum 'Kungsholm',Apiaceae,kungsholmsloka,219682.0,Resident,Not Red-listed,5.0,19.8,3.0,7.0,,,,,5.0,5.0,6.0,8.0,5.0,2.0,2.0,2.0,2.0,1,,,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Heracleum mantegazzianum Sommier & Levier,Apiaceae,jätteloka,219680.0,Resident,Not Red-listed,5.0,19.8,3.0,7.0,7.0,4.0,8.0,5.0,5.0,5.0,6.0,8.0,5.0,2.0,2.0,2.0,2.0,1,9.0,2.0,3,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,3,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heracleum persicum Desf. ex Fisch.,Apiaceae,tromsöloka,222850.0,Resident,Not Red-listed,5.0,19.8,3.0,7.0,4.0,9.0,12.0,4.0,6.0,6.0,5.0,8.0,5.0,2.0,2.0,2.0,2.0,1,,,3,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,0,0.0,0.0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Heracleum platytaenium Boiss.,Apiaceae,hörsneloka,259710.0,Resident,Not Red-listed,6.0,15.8,3.0,7.0,13.0,3.0,4.0,7.0,6.0,4.0,7.0,8.0,5.0,2.0,2.0,2.0,2.0,1,,,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heracleum sphondylium L.,Apiaceae,björnloka,219681.0,Resident,Not Red-listed,0.0,0,5.0,6.0,5.0,4.0,9.0,5.0,6.0,4.0,6.0,6.0,4.0,2.0,2.0,4.0,3.0,1,9.0,2.0,4,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,2,2.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Herminium monorchis (L.) R. Br.,Orchidaceae,honungsblomster,770.0,Resident,VU,0.0,0,1.0,4.0,10.0,5.0,7.0,5.0,6.0,8.0,8.0,2.0,1.0,1.0,7.0,3.0,4.0,1,8.0,1.0,,,AirD,0.0,C3,OrkM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,3,0.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herniaria glabra L.,Caryophyllaceae,knytling,220797.0,Resident,Not Red-listed,0.0,0,1.0,,9.0,2.0,5.0,7.0,6.0,4.0,7.0,4.0,3.0,2.0,5.0,8.0,3.0,1,8.0,1.0,,3.0,Passive,0.0,C3,None,0.0,0.0,,0,2,3,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hesperis matronalis L.,Brassicaceae,hesperis,220800.0,Resident,Not Red-listed,2.0,10.3,3.0,5.0,8.0,3.0,6.0,4.0,4.0,5.0,5.0,7.0,5.0,2.0,2.0,2.0,4.0,1b,7.0,2.0,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Hesperis tristis L.,Brassicaceae,sorgört,220523.0,Resident,Not Red-listed,4.0,11,1.0,5.0,13.0,5.0,6.0,7.0,7.0,3.0,8.0,6.0,4.0,2.0,1.0,7.0,3.0,2b,5.0,4.0,2,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus trionum L.,Malvaceae,timvisare,223340.0,Non-resident,Not Red-listed,,,2.0,,14.0,1.0,1.0,6.0,7.0,4.0,7.0,7.0,5.0,1.0,1.0,9.0,1.0,1,14.0,7.0,2,,Passive,0.0,,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium sect. Alpestria,Asteraceae,dovrefibblor,220186.0,Resident,Not Red-listed,0.0,0,3.0,4.0,4.0,7.0,11.0,4.0,5.0,5.0,5.0,6.0,3.0,1.0,2.0,4.0,4.0,0d,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hieracium sect. Alpina,Asteraceae,fjällfibblor,220187.0,Resident,Not Red-listed,0.0,0,4.0,4.0,2.0,15.0,16.0,,7.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,0d,,,,1.0,AirP,0.0,C3,AM,0.0,0.0,,1,0,0,3,2,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hieracium sect. Bifida,Asteraceae,krattfibblor,231939.0,Resident,Not Red-listed,0.0,0,4.0,5.0,4.0,3.0,8.0,5.0,5.0,3.0,6.0,3.0,3.0,1.0,2.0,4.0,4.0,0d,7.0,2.0,2,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,1,2,0,1,1.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1
Hieracium sect. Foliosa,Asteraceae,norrlandsfibblor,220191.0,Resident,Not Red-listed,0.0,0,3.0,5.0,4.0,10.0,13.0,,6.0,6.0,5.0,6.0,3.0,1.0,1.0,4.0,4.0,0d,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,3,0,0.0,0.0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium sect. Hieracium,Asteraceae,skogsfibblor,220192.0,Resident,Not Red-listed,0.0,0,5.0,5.0,4.0,4.0,9.0,5.0,3.0,5.0,6.0,5.0,3.0,1.0,2.0,4.0,4.0,0d,7.0,2.0,3,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,2,0
Hieracium sect. Oreadea,Asteraceae,klippfibblor,6002782.0,Resident,Not Red-listed,0.0,0,4.0,5.0,4.0,4.0,9.0,4.0,6.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,0d,8.0,1.0,2,,AirP,0.0,C3,AM,0.0,0.0,,6,0,0,2,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium sect. Prenanthoidea,Asteraceae,sallatsfibblor,220195.0,Resident,Not Red-listed,0.0,0,4.0,5.0,3.0,11.0,14.0,,5.0,6.0,6.0,6.0,3.0,1.0,1.0,4.0,4.0,0d,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,1,0,0.0,0.0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Hieracium sect. Pulmonarioidea,Asteraceae,glattfibblor,6033368.0,Resident,Not Red-listed,0.0,0,3.0,4.0,4.0,9.0,12.0,,6.0,5.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,0d,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hieracium sect. Sabauda,Asteraceae,savojfibblor,220196.0,Resident,Not Red-listed,0.0,0,4.0,5.0,12.0,3.0,4.0,3.0,5.0,3.0,5.0,6.0,3.0,1.0,1.0,2.0,4.0,0d,12.0,5.0,2,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium sect. Subalpina,Asteraceae,svartfibblor,222733.0,Resident,Not Red-listed,0.0,0,3.0,4.0,3.0,14.0,15.0,,5.0,5.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,0d,,,,,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hieracium sect. Tridentata,Asteraceae,styvfibblor,222956.0,Resident,Not Red-listed,0.0,0,5.0,5.0,6.0,3.0,7.0,5.0,6.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,0d,9.0,2.0,,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,2,0,2,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium sect. Vulgata,Asteraceae,hagfibblor,220200.0,Resident,Not Red-listed,0.0,0,5.0,5.0,5.0,3.0,8.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,0d,8.0,1.0,2,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1,1,0,0
Hieracium umbellatum,Asteraceae,flockfibbla,222024.0,Resident,Not Red-listed,0.0,0,4.0,5.0,5.0,3.0,8.0,5.0,6.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,1,10.0,3.0,,2.0,AirP,0.0,C3,AM,0.0,0.0,,1,1,0,1,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hierochloë alpina (Willd.) Roem. & Schult.,Poaceae,fjällmyskgräs,220202.0,Resident,Not Red-listed,0.0,0,1.0,1.0,1.0,16.0,17.0,7.0,7.0,5.0,5.0,,3.0,1.0,5.0,5.0,4.0,0d,,,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,3.0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hierochloë hirta (Schrank) Borbás,Poaceae,raggmyskgräs,222499.0,Resident,Not Red-listed,0.0,0,2.0,1.0,3.0,8.0,12.0,7.0,6.0,6.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,0d,,,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,1.0,3,2,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hierochloë odorata (L.) P. Beauv.,Poaceae,doftmyskgräs,222500.0,Resident,Not Red-listed,0.0,0,2.0,1.0,4.0,6.0,11.0,4.0,6.0,7.0,6.0,4.0,3.0,1.0,5.0,4.0,4.0,0b,6.0,3.0,3,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,4,3,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippocrepis emerus (L.) Lassen,Fabaceae,gulkronill,776.0,Resident,NT,0.0,0,3.0,5.0,13.0,3.0,4.0,7.0,5.0,3.0,8.0,1.0,3.0,1.0,2.0,,4.0,2a,,,,,Passive,1.0,C3,AM,0.0,0.0,,0,0,5,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Hippophaë rhamnoides L.,Elaegnaceae,havtorn,221206.0,Resident,Not Red-listed,0.0,0,3.0,2.0,3.0,8.0,12.0,5.0,7.0,4.0,7.0,2.0,4.0,3.0,3.0,6.0,4.0,0b,5.0,4.0,,1.0,Bird,1.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippuris × lanceolata Retz.,Plantaginaceae,mellanhästsvans,221948.0,Resident,Not Red-listed,0.0,0,1.0,2.0,7.0,8.0,10.0,7.0,7.0,10.0,7.0,5.0,4.0,3.0,2.0,3.0,4.0,0b,,,,,Water,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippuris tetraphylla L. f.,Plantaginaceae,ishavshästsvans,777.0,Resident,CR,0.0,0,1.0,2.0,7.0,10.0,11.0,7.0,7.0,10.0,7.0,5.0,4.0,3.0,2.0,3.0,4.0,0b,,,,,Water,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippuris vulgaris L.,Plantaginaceae,hästsvans,221949.0,Resident,Not Red-listed,0.0,0,1.0,2.0,3.0,3.0,9.0,5.0,6.0,10.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,0b,10.0,3.0,,,Water,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holcus lanatus L.,Poaceae,luddtåtel,220525.0,Resident,Not Red-listed,0.0,0,5.0,1.0,10.0,2.0,4.0,5.0,5.0,6.0,4.0,7.0,4.0,1.0,4.0,7.0,4.0,0b,8.0,1.0,2,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,0,0.0,0.0,0,2,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holcus mollis L.,Poaceae,lentåtel,222502.0,Resident,Not Red-listed,0.0,0,5.0,1.0,10.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,3.0,1.0,4.0,2.0,4.0,0b,10.0,3.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,1,1,0.0,0,1.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Holosteum umbellatum L.,Caryophyllaceae,fågelarv,778.0,Resident,NT,0.0,0,2.0,3.0,12.0,2.0,3.0,5.0,6.0,1.0,7.0,3.0,4.0,2.0,4.0,8.0,1.0,0c,4.0,5.0,2,2.0,Passive,0.0,C3,None,0.0,0.0,,0,0,3,0,1,3.0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honckenya peploides (L.) Ehrh.,Caryophyllaceae,saltarv,220801.0,Resident,Not Red-listed,0.0,0,2.0,4.0,8.0,3.0,6.0,5.0,7.0,6.0,7.0,8.0,5.0,4.0,2.0,6.0,4.0,0c,8.0,1.0,4,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hordelymus europaeus (L.) Harz,Poaceae,skogskorn,783.0,Resident,VU,0.0,0,3.0,1.0,11.0,3.0,5.0,6.0,4.0,2.0,7.0,6.0,3.0,1.0,2.0,4.0,3.0,0b,10.0,3.0,2,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0
Hordeum jubatum L.,Poaceae,ekorrkorn,222509.0,Resident,Not Red-listed,4.0,12,2.0,1.0,12.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,5.0,2.0,3.0,9.0,1.0,0c,9.0,2.0,1,2.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Hordeum murinum L.,Poaceae,vildkorn,222511.0,Resident,Not Red-listed,1.0,4,4.0,1.0,12.0,1.0,2.0,5.0,7.0,3.0,7.0,6.0,4.0,2.0,3.0,9.0,2.0,0c,7.0,2.0,1,1.0,AirP,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Hordeum secalinum Schreb.,Poaceae,ängskorn,784.0,Resident,EN,0.0,0,2.0,1.0,13.0,2.0,3.0,4.0,7.0,7.0,7.0,5.0,4.0,3.0,5.0,7.0,4.0,0b,8.0,1.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hornungia petraea (L.) Rchb.,Brassicaceae,stenkrassing,222518.0,Resident,Not Red-listed,0.0,0,1.0,2.0,12.0,2.0,3.0,6.0,6.0,1.0,8.0,2.0,3.0,2.0,4.0,8.0,1.0,0c,4.0,5.0,2,,Passive,0.0,C3,None,0.0,0.0,,0,0,3,0,0,3.0,3,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hottonia palustris L.,Primulaceae,vattenblink,219826.0,Resident,Not Red-listed,0.0,0,1.0,4.0,10.0,4.0,6.0,6.0,4.0,10.0,6.0,6.0,4.0,1.0,5.0,6.0,4.0,2,7.0,2.0,3,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humulus lupulus L.,Cannabaceae,humle,223042.0,Resident,Not Red-listed,0.0,0,4.0,1.0,8.0,3.0,6.0,5.0,4.0,7.0,6.0,7.0,4.0,1.0,1.0,1.0,4.0,0b,11.0,4.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0
Huperzia selago (L.) Bernh. ex Schrank & Mart.,Lycopodiaceae,lopplummer,221944.0,Resident,Not Red-listed,0.0,0,1.0,1.0,1.0,7.0,13.0,5.0,2.0,6.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,0b,8.0,1.0,,,AirD,0.0,C3,AM,0.0,0.0,,1,0,0,0,0,0.0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,2
Hyacinthoides × massartiana Geerinck,Asparagaceae,hybridklockhyacint,223616.0,Resident,Not Red-listed,6.0,11,1.0,3.0,10.0,3.0,5.0,4.0,3.0,4.0,7.0,7.0,5.0,1.0,4.0,3.0,4.0,2a,6.0,3.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Hyacinthoides hispanica (Mill.) Rothm.,Asparagaceae,spansk klockhyacint,219827.0,Resident,Not Red-listed,6.0,9.6,1.0,3.0,10.0,2.0,4.0,4.0,2.0,4.0,7.0,7.0,5.0,1.0,4.0,3.0,4.0,2a,6.0,3.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Hyacinthoides italica (L.) Rothm.,Asparagaceae,italiensk blåstjärna,219828.0,Resident,Not Red-listed,2.0,6.4,1.0,3.0,12.0,3.0,4.0,5.0,4.0,5.0,7.0,7.0,5.0,1.0,4.0,3.0,4.0,,4.0,5.0,,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0
Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Asparagaceae,engelsk klockhyacint,219829.0,Resident,Not Red-listed,5.0,11,1.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,7.0,7.0,5.0,1.0,4.0,3.0,4.0,2a,6.0,3.0,2,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
Hyacinthus orientalis L.,Asparagaceae,hyacint,219830.0,Resident,Not Red-listed,6.0,2.4,1.0,4.0,12.0,,,7.0,6.0,3.0,7.0,7.0,5.0,1.0,4.0,5.0,4.0,,,,,,Veg,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrocharis morsus-ranae L.,Hydrocharitaceae,dyblad,220991.0,Resident,Not Red-listed,0.0,0,1.0,2.0,9.0,3.0,6.0,7.0,6.0,12.0,6.0,8.0,5.0,1.0,4.0,,4.0,0a,10.0,3.0,,,Veg,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrocotyle vulgaris L.,Araliaceae,spikblad,219568.0,Resident,Not Red-listed,0.0,0,1.0,3.0,10.0,3.0,5.0,3.0,5.0,8.0,5.0,4.0,3.0,1.0,6.0,5.0,4.0,0c,10.0,3.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,1.0,1,1,0.0,1.0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hylotelephium ewersii (L.) H. Ohba,Crassulaceae,mongoliskt fetblad,223341.0,Resident,Not Red-listed,6.0,14,1.0,5.0,10.0,6.0,8.0,8.0,5.0,2.0,,,3.0,2.0,2.0,,4.0,2,,,3,,Passive,0.0,CAM,None,0.0,0.0,,0,10,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylotelephium telephium (ssp. maximum),Crassulaceae,(vanlig) kärleksört,225181.0,Resident,Not Red-listed,0.0,0,2.0,5.0,8.0,3.0,6.0,6.0,5.0,1.0,4.0,3.0,5.0,2.0,1.0,5.0,4.0,2,12.0,5.0,,1.0,Passive,0.0,CAM,None,0.0,0.0,,4,2,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hylotelephium telephium ssp. telephium,Crassulaceae,röd kärleksört,225182.0,Resident,Not Red-listed,1.0,4,3.0,5.0,11.0,3.0,5.0,5.0,5.0,3.0,7.0,7.0,5.0,2.0,1.0,2.0,4.0,2,12.0,5.0,,1.0,Passive,0.0,CAM,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
